canonical_rank,source_rank,model_id,exact_empirical_crps,cells
1,12,asset_level_fastmap_kalman_dynamic_gaussian_factor_rebalanced,0.255725517,701280
2,13,bayesian_sbb_overlay_sv_ar1_logvol_bias_corrected,0.255822806,701280
3,14,bayesian_sbb_ml_vol_overlay_rf_harx_ff6,0.255876788,701280
4,15,bayesian_sbb_overlay_harch_1_5_22,0.256888064,701280
5,16,bayesian_sbb_overlay_ewma_absolute,0.258011651,701280
6,17,bayesian_sbb_overlay_gjr_garch_1_1,0.262244982,701280
7,18,bayesian_sbb_overlay_figarch_1_d_1,0.262458952,701280
8,19,asset_level_exact_kalman_dynamic_gaussian_factor_rebalanced,0.277164142,701280
9,20,sv_live_baseline_sharpe_dlm_historical_cagr_anchor_bdes_multiscale_vol_conditional_sharpe_full_inla_laplace_quadrature_centered_multiscale,0.292863638,701280
10,21,canonical,0.31571536,701280
11,22,stack_canonical_gaussian_w0.60,0.31571536,701280
12,23,stack_canonical_gaussian_w0.50,0.31571536,701280
13,24,stack_canonical_student_t_w0.60,0.31571536,701280
14,25,stack_canonical_student_t_w0.50,0.31571536,701280
15,26,stack_canonical_gaussian_w0.70,0.31571536,701280
16,27,stack_canonical_student_t_w0.70,0.31571536,701280
17,28,stack_canonical_gaussian_w0.80,0.31571536,701280
18,29,stack_canonical_student_t_w0.80,0.31571536,701280
19,30,stack_canonical_student_t_w0.90,0.31571536,701280
20,31,stack_canonical_gaussian_w0.90,0.31571536,701280
21,32,stack_canonical_gaussian_w1.00,0.31571536,701280
22,33,stack_canonical_student_t_w1.00,0.31571536,701280
23,34,dp_mixture_sv_sbb,0.330258102,701280
24,35,bayesian_sbb_overlay_mcmc_sv_ar1_leverage_transformed_raw_innovations_hac_drift_uncertainty,0.331269405,701280
25,36,observable_markov_state_sbb,0.331351866,701280
26,37,bayesian_sbb_overlay_ewma_absolute_historical_realized_sharpe,0.33149111,701280
27,38,factor_ff6_ridge_residual_sbb_none,0.332026911,701280
28,39,factor_ff6_ridge_residual_sbb_absolute_ewma,0.332126155,701280
29,40,sv_live_baseline_sharpe_dlm_historical_cagr_anchor_bdes_multiscale_vol_conditional_sharpe_optimal_block_adaptive_metropolis_proposal_mcmc,0.332216298,701280
30,41,bayesian_sbb_overlay_ewma_absolute_merton_positive_sample_mean,0.332711426,701280
31,42,bayesian_sbb_overlay_garch_1_1_merton_positive_sample_mean,0.334801974,701280
32,43,bayesian_sbb_overlay_mcmc_sv_ar1_leverage_merton_positive_sample_mean,0.335201266,701280
33,44,gas_score_driven_skewt,0.335222175,701280
34,45,constant_mean_gaussian,0.335418604,701280
35,46,constant_mean_student_t,0.33622274,701280
36,47,naive_iid_historical_portfolio_bootstrap,0.338505492,701280
37,48,stochastic_volatility_ar1_empirical,0.338838055,701280
38,49,sv_live_baseline_sample_mean_sample_standardized_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.339156052,701280
39,50,bayesian_sbb_overlay_mcmc_sv_ar1_leverage_transformed_raw_innovations_merton_positive_sample_mean,0.339516385,701280
40,51,stochastic_volatility_ar1_empirical_sbb,0.340856562,701280
41,52,bayesian_sbb_overlay_mcmc_sv_no_ar_leverage_transformed_raw_innovations_hac_drift_uncertainty_adaptive_mcmc_harx_ff6_vol_anchor,0.341370961,701280
42,53,bayesian_sbb_overlay_mcmc_sv_ar1_merton_positive_sample_mean,0.342422982,701280
