canonical_rank,source_rank,model_id,exact_empirical_crps,cells
43,54,bayesian_mcmc_stochastic_volatility_sbb,0.342689775,701280
44,55,stochastic_volatility_ar1_student_t,0.344304458,701280
45,56,bayesian_sbb_overlay_gjr_garch_1_1_merton_positive_sample_mean,0.346829116,701280
46,57,bayesian_sbb_overlay_mcmc_sv_ar1_leverage_transformed_raw_innovations_hac_drift_uncertainty_adaptive_mcmc,0.347570325,701280
47,58,bayesian_sbb_overlay_sv_ar1_logvol_bias_corrected_hac_drift_uncertainty_harx_ff6_vol_anchor,0.348272631,701280
48,59,sv_live_baseline_robust_horizon_credibility_mean_sample_standardized_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.35739416,701280
49,60,sv_live_baseline_positive_hac_mean_filtered_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.366346553,701280
50,61,bayesian_sbb_overlay_ewma_absolute_empirical_bayes_positive_sharpe,0.378474817,701280
51,62,sv_live_baseline_positive_eb_mean_filtered_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.379390562,701280
52,63,portfolio_gjr_garch_eb_sampler_stationary_sbb_optimal,0.379849473,701280
53,64,sv_live_baseline_empirical_bayes_mean_filtered_sbb_mad_standardized_optimal_block_adaptive_metropolis_proposal_mcmc,0.380758447,701280
54,65,sv_live_baseline_empirical_bayes_mean_filtered_sbb_vol_conditioned_residuals_optimal_block_adaptive_metropolis_proposal_mcmc,0.381834367,701280
55,66,sv_live_baseline_empirical_bayes_mean_filtered_sbb_paired_state_shocks_optimal_block_adaptive_metropolis_proposal_mcmc,0.382431265,701280
56,67,sv_live_baseline_empirical_bayes_mean_filtered_sbb_empirical_state_shocks_optimal_block_adaptive_metropolis_proposal_mcmc,0.382885554,701280
57,68,bayesian_sbb_overlay_ewma_absolute_empirical_bayes_positive_sharpe_mu_uncertainty,0.383129661,701280
58,69,sv_live_baseline_empirical_bayes_mean_filtered_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.383133848,701280
59,70,bayesian_sbb_overlay_garch_1_1_empirical_bayes_sharpe,0.383370954,701280
60,71,sv_live_baseline_empirical_bayes_mean_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.384339203,701280
61,72,bayesian_sbb_overlay_gjr_garch_1_1_empirical_bayes_sharpe,0.384481351,701280
62,73,sv_live_baseline_empirical_bayes_mean_filtered_sbb_empirical_sv_measurement_bias_optimal_block_adaptive_metropolis_proposal_mcmc,0.384646828,701280
63,74,sv_live_baseline_empirical_bayes_mean_filtered_circular_block_optimal_block_adaptive_metropolis_proposal_mcmc,0.384812534,701280
64,75,bayesian_sbb_overlay_egarch_1_1_empirical_bayes_sharpe,0.3857705,701280
65,76,bayesian_sbb_overlay_garch_1_1_hierarchical_empirical_bayes_sharpe,0.386044101,701280
66,77,sv_live_baseline_empirical_bayes_mean_filtered_sbb_evt_tail_splice_optimal_block_adaptive_metropolis_proposal_mcmc,0.386066471,701280
67,78,sv_live_baseline_empirical_bayes_mean_sbb_optimal_block_adaptive_mcmc,0.386962651,701280
68,79,sv_live_baseline_empirical_bayes_mean_filtered_sbb_student_t_state_shocks_optimal_block_adaptive_metropolis_proposal_mcmc,0.387924449,701280
69,80,bayesian_sbb_overlay_ewma_absolute_empirical_bayes_sharpe,0.388503125,701280
70,81,sv_live_baseline_evidence_dlm_drift_mean_sample_standardized_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.389173945,701280
71,82,sv_live_baseline_hierarchical_eb_mean_filtered_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.389809954,701280
72,83,sv_live_baseline_empirical_bayes_mean_nig_adaptive_mcmc,0.392315533,701280
73,84,sv_live_baseline_empirical_bayes_mean_nig_student_t_state_shocks_adaptive_mcmc,0.392927567,701280
74,85,sv_live_baseline_empirical_bayes_mean_nig_adaptive_metropolis_proposal_mcmc,0.393127746,701280
75,86,sv_live_baseline_horizon_credibility_mean_sample_standardized_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.406310786,701280
76,87,sv_live_baseline_empirical_bayes_mean_student_t_state_shocks_adaptive_mcmc,0.411437596,701280
77,88,sv_live_baseline_empirical_bayes_mean_jf_skewt_adaptive_mcmc,0.412729016,701280
78,89,bayesian_sbb_overlay_mcmc_sv_ar1_leverage_transformed_raw_innovations_horizon_credibility_hac_drift_uncertainty_adaptive_mcmc,0.415303824,701280
79,90,sv_live_baseline_hierarchical_eb_mean_jf_skewt_adaptive_mcmc,0.417681575,701280
80,91,sv_live_baseline_horizon_credibility_mean_sample_standardized_sbb_vol_conditioned_residuals_optimal_block_adaptive_metropolis_proposal_mcmc,0.442324599,701280
81,92,sv_live_baseline_horizon_credibility_mean_sample_standardized_sbb_evt_tail_splice_optimal_block_adaptive_metropolis_proposal_mcmc,0.453131125,701280
82,93,sv_live_baseline_horizon_credibility_mean_filtered_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.460725977,701280
83,94,bayesian_sbb_overlay_garch_1_1_prequential_crps_shrinkage,0.649725333,701280
84,95,sv_live_baseline_prequential_crps_mean_filtered_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,0.653741296,701280
85,96,sv_live_baseline_horizon_credibility_mean_sample_standardized_sbb_drift_instability_optimal_block_adaptive_metropolis_proposal_mcmc,0.911488238,701280
86,97,bayesian_sbb_overlay_ewma_absolute_zero_sharpe,1.09351404,701280
87,98,sv_live_baseline_zero_mean_sample_standardized_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,1.10068592,701280
88,99,sv_live_baseline_zero_mean_filtered_sbb_optimal_block_adaptive_metropolis_proposal_mcmc,1.11951734,701280
89,100,zero_mean_gaussian_vol_only,1.13841374,701280
